feature_1,feature_2,multi_target
0.00718075426709294,-1.3687127611193606,Class_C
-0.07827650090265371,1.1648308698579946,Class_C
-1.6477887004472427,0.0911567762762793,Class_B
0.8627960486621437,-0.4449272264022178,Class_B
1.1201254444496822,-0.8154897252046439,Class_C
-0.12791491715579092,-1.1696779169223022,Class_B
1.493818417786049,0.5870090697994221,Class_A
-1.0455670674918471,0.07314467841894558,Class_A
1.1997636872897668,-1.8177572969154165,Class_A
0.885913693949636,-1.0878784089735836,Class_C
1.779170505149487,-0.38356512885158867,Class_A
-0.6939479003363856,-1.109749094163502,Class_C
-0.42210440806464966,-0.05631674963511987,Class_C
0.03774639577632675,-1.9416755691176457,Class_C
0.864675635186561,-0.970851069878692,Class_A
0.8642683495380334,0.502670794633804,Class_C
0.577641564961935,0.1947967236260202,Class_B
-0.45507458804139134,-0.7419699202745883,Class_A
-0.3669766062205603,-0.3456792156678707,Class_C
-1.3866072502951146,-0.3350920611631615,Class_B
0.09050754691588582,0.029154039656817926,Class_A
0.9962222084113758,0.29865523801697064,Class_B
-1.6147183059096775,0.5867745029528115,Class_B
0.7048748418706511,-0.3365473627538307,Class_A
1.1320785662482278,1.1939804673099401,Class_A
1.1068135414412286,1.3843131290258917,Class_C
-0.2103021534806565,0.4939664924109899,Class_B
-1.5151713833074674,-1.0300513702050096,Class_A
0.016763148112700427,-1.9596937566941623,Class_B
-0.8116598875056558,-0.2743782582486149,Class_B
-0.0512880648864216,0.9252787993269795,Class_B
1.322018736887955,0.6914661214420019,Class_A
0.45084096821914815,-0.366310487872452,Class_A
-0.5322276531478798,0.16823993693894448,Class_C
0.5577761665509463,2.0446558036529994,Class_A
-0.08608130385474744,-1.5685617694285368,Class_B
-0.1874054293971941,0.8763503828941072,Class_B
0.30335854125356837,1.006850776028462,Class_B
0.564416507065311,-0.8971533040710348,Class_C
-0.5381037992941965,-0.06612807437415019,Class_A
0.4146611558853327,0.5820227718430736,Class_A
-1.2077797013959581,-0.46254594159478607,Class_B
-1.4133097919027298,0.8589318412975782,Class_B
1.262879247304113,-0.5737367827401096,Class_C
-0.5810636928203026,0.558364588256888,Class_A
-0.6343605899201641,-0.023443690864198907,Class_C
-1.057060679596658,0.9053151073894031,Class_C
1.3887794032638063,0.7824653484482942,Class_A
1.1148851666539494,0.13750640032412748,Class_B
-0.7652319331639643,1.345888028430536,Class_A
